Generation 252, Best Fitness: 0.75
Generation 253, Best Fitness: 0.875
Generation 254, Best Fitness: 0.875
Generation 255, Best Fitness: 0.875
Generation 256, Best Fitness: 0.875
Generation 257, Best Fitness: 0.875
Generation 258, Best Fitness: 0.75
Generation 259, Best Fitness: 0.875
Generation 260, Best Fitness: 0.875
Generation 261, Best Fitness: 0.875
Generation 262, Best Fitness: 0.875
Generation 263, Best Fitness: 0.875
Generation 264, Best Fitness: 0.875
Generation 265, Best Fitness: 0.875
Generation 266, Best Fitness: 0.875
Generation 267, Best Fitness: 0.875
Generation 268, Best Fitness: 0.875
Generation 269, Best Fitness: 0.875
Generation 270, Best Fitness: 0.875
Generation 271, Best Fitness: 0.875
Generation 272, Best Fitness: 0.875
Generation 273, Best Fitness: 0.875
Generation 274, Best Fitness: 0.875
Generation 275, Best Fitness: 0.875
Generation 276, Best Fitness: 0.875
Generation 277, Best Fitness: 0.875
Generation 278, Best Fitness: 0.875
Generation 279, Best Fitness: 0.875
Generation 280, Best Fitness: 0.875
Generation 281, Best Fitness: 0.875
Generation 282, Best Fitness: 0.75
Generation 283, Best Fitness: 0.75
Generation 284, Best Fitness: 0.75
Generation 285, Best Fitness: 0.75
Generation 286, Best Fitness: 0.75
Generation 287, Best Fitness: 0.75
Generation 288, Best Fitness: 0.75
Generation 289, Best Fitness: 0.75
Generation 290, Best Fitness: 0.75
Generation 291, Best Fitness: 0.75
Generation 292, Best Fitness: 0.75
Generation 293, Best Fitness: 0.75
Generation 294, Best Fitness: 0.75
Generation 295, Best Fitness: 0.75
Generation 296, Best Fitness: 0.75
Generation 297, Best Fitness: 0.75
Generation 298, Best Fitness: 0.75
Generation 299, Best Fitness: 0.75
Generation 300, Best Fitness: 0.75
Generation 301, Best Fitness: 0.75
Generation 302, Best Fitness: 0.75
Generation 303, Best Fitness: 0.75
Generation 304, Best Fitness: 0.75
Generation 305, Best Fitness: 0.75
Generation 306, Best Fitness: 0.75
Generation 307, Best Fitness: 0.875
Generation 308, Best Fitness: 0.75
Generation 309, Best Fitness: 0.75
Generation 310, Best Fitness: 0.75
Generation 311, Best Fitness: 0.75
Generation 312, Best Fitness: 0.75
Generation 313, Best Fitness: 0.75
Generation 314, Best Fitness: 0.75
Generation 315, Best Fitness: 0.75
Generation 316, Best Fitness: 0.75
Generation 317, Best Fitness: 0.625
Generation 318, Best Fitness: 0.625
Generation 319, Best Fitness: 0.625
Generation 320, Best Fitness: 0.625
Generation 321, Best Fitness: 0.625
Generation 322, Best Fitness: 0.625
Generation 323, Best Fitness: 0.75
Generation 324, Best Fitness: 0.75
Generation 325, Best Fitness: 0.75
Generation 326, Best Fitness: 0.75
Generation 327, Best Fitness: 0.75
Generation 328, Best Fitness: 0.75
Generation 329, Best Fitness: 0.75
Generation 330, Best Fitness: 0.75
Generation 331, Best Fitness: 0.75
Generation 332, Best Fitness: 0.75
Generation 333, Best Fitness: 0.75
Generation 334, Best Fitness: 0.75
Generation 335, Best Fitness: 0.75
Generation 336, Best Fitness: 0.75
Generation 337, Best Fitness: 0.875
Generation 338, Best Fitness: 0.875
Generation 339, Best Fitness: 0.75
Generation 340, Best Fitness: 0.75
Generation 341, Best Fitness: 0.75
Generation 342, Best Fitness: 0.75
Generation 343, Best Fitness: 0.75
Generation 344, Best Fitness: 0.75
Generation 345, Best Fitness: 0.75
Generation 346, Best Fitness: 0.75
Generation 347, Best Fitness: 0.75
Generation 348, Best Fitness: 0.75
Generation 349, Best Fitness: 0.75
Generation 350, Best Fitness: 0.75
Generation 351, Best Fitness: 0.75
Generation 352, Best Fitness: 0.75
Generation 353, Best Fitness: 0.75
Generation 354, Best Fitness: 0.75
Generation 355, Best Fitness: 0.75
Generation 356, Best Fitness: 0.75
Generation 357, Best Fitness: 0.875
Generation 358, Best Fitness: 0.75
Generation 359, Best Fitness: 0.75
Generation 360, Best Fitness: 0.75
Generation 361, Best Fitness: 0.75
Generation 362, Best Fitness: 0.75
Generation 363, Best Fitness: 0.75
Generation 364, Best Fitness: 0.75
Generation 365, Best Fitness: 0.75
Generation 366, Best Fitness: 0.75
